step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,location,fraud_risk_score,net_balance_change_dest,balance_change_pct_orig,is_balance_zero_after,transaction_type_numeric,net_balance_change_orig,is_large_transaction,transaction_success,balance_change_pct_dest
1,DEBIT,5337.77,C712410124,41720.0,36382.23,C195600860,41898.0,40348.79,0.0,0.0,"New South Wales, Australia",91,302.2951697633482,89.67884099060119,False,4,834.9716862639805,False,True,37.454011884736246
1,DEBIT,9644.94,C1900366749,4465.0,0.0,C997608398,10845.0,157982.12,0.0,0.0,"Texas, USA",64,241.8571349568624,47.39616402628724,True,3,-418.9909886571593,False,True,95.07143064099162
1,DEBIT,9302.79,C1566511282,11299.0,1996.21,C1973538135,29832.0,16896.7,0.0,0.0,"England, UK",17,-295.2501067806912,66.75577385210272,False,2,-60.023463684126796,True,False,73.1993941811405
1,DEBIT,1065.41,C1959239586,1817.0,751.59,C515132998,10330.0,0.0,0.0,0.0,"New South Wales, Australia",12,682.89510616952,17.231987120162984,True,2,780.2822747920293,True,True,59.86584841970366
1,DEBIT,5758.59,C1466917878,32604.0,26845.41,C1297685781,209699.0,16997.22,0.0,0.0,"New York, USA",22,-57.42566520367086,19.228901880867078,False,2,415.4427005350549,False,True,15.601864044243651
1,DEBIT,5529.13,C867288517,8547.0,3017.87,C242131142,10206.0,0.0,0.0,0.0,"New South Wales, Australia",17,958.209876030309,4.086861626647886,False,3,-875.5935476705945,False,False,15.599452033620265
1,DEBIT,4510.22,C280615803,10256.0,5745.78,C1254526270,10697.0,0.0,0.0,0.0,"Queensland, Australia",10,268.2842765914736,16.893506307216455,True,1,-705.3939114420593,True,False,5.8083612168199465
1,DEBIT,8727.74,C166694583,882770.0,874042.26,C1129670968,12636.0,0.0,0.0,0.0,"British Columbia, Canada",65,-747.4705168709945,27.85903390319586,True,2,-984.3168184561664,True,False,86.61761457749351
1,DEBIT,4874.49,C811207775,153.0,0.0,C1971489295,253104.0,0.0,0.0,0.0,"Texas, USA",22,352.35512415086805,17.70104842767468,False,3,261.84358045832687,False,False,60.11150117432088
1,DEBIT,5149.66,C1955990522,4782.0,0.0,C1330106945,52752.0,24044.18,0.0,0.0,"Quebec, Canada",90,-349.791969136602,8.87025337570556,True,1,-104.65314917916339,False,False,70.80725777960456
1,DEBIT,864.68,C1368862151,69836.0,68971.32,C20671747,12040.0,43691.09,0.0,0.0,"New South Wales, Australia",82,372.6543933721948,12.06358711006008,True,4,-731.4502981954489,True,False,2.0584494295802447
1,DEBIT,3058.8,C1694784135,18138.0,15079.2,C801197928,11054.0,8917.54,0.0,0.0,"Queensland, Australia",50,-860.7177036751885,46.077876803272574,True,2,915.8682421135409,True,True,96.99098521619943
1,DEBIT,3580.26,C1579132337,2565.0,0.0,C1321640594,21185.0,18910.85,0.0,0.0,"British Columbia, Canada",14,-650.2371256480812,20.63337184057925,True,1,59.31944789123986,True,True,83.24426408004217
1,DEBIT,3875.99,C1252540239,259138.0,255262.01,C1509514333,608925.82,2415.16,0.0,0.0,"Quebec, Canada",64,711.4745178115727,36.42698610480755,False,2,-516.2134117742216,False,False,21.233911067827616
1,DEBIT,4497.87,C1278002745,107388.0,102890.13,C510113906,19053.0,5417.23,0.0,0.0,"Wales, UK",47,-545.6408859529702,50.34172708548569,False,2,1.207142309415076,True,True,18.182496720710063
1,DEBIT,1393.46,C79290250,100068.0,98674.54,C1076835071,26446.0,318637.36,0.0,0.0,"Victoria, Australia",29,674.0822504858802,69.03948286293652,True,2,359.2406654702156,False,False,18.34045098534338
1,DEBIT,3428.95,C1317375498,147798.0,144369.05,C665576141,1534657.01,5515763.34,0.0,0.0,"Victoria, Australia",76,-441.4478230911791,3.9312139841098936,True,1,-847.5215640528711,True,False,30.42422429595377
1,DEBIT,3455.85,C192428201,3509.0,53.15,C401424608,1333014.31,1178808.14,0.0,0.0,"British Columbia, Canada",36,285.7638201174152,79.94103989090426,True,3,-450.59236990421607,True,False,52.475643163223786
1,DEBIT,12872.92,C425015667,11197.0,0.0,C466505482,51885.0,0.0,0.0,0.0,"California, USA",99,388.30114701966204,62.79003894909078,True,1,613.9309817679873,True,False,43.194501864211574
1,DEBIT,6666.78,C837073696,11876.0,5209.22,C655381473,24777.0,189534.74,0.0,0.0,"New South Wales, Australia",52,25.3095062901059,8.17590319488719,False,2,-80.67025919467756,True,True,29.122914019804192
1,DEBIT,7344.92,C334593716,0.0,0.0,C485041780,185432.0,0.0,0.0,0.0,"Scotland, UK",76,-389.3786466065375,87.35786241067773,False,1,93.15428406458977,False,False,61.18528947223795
1,DEBIT,4565.14,C201274566,30265.0,25699.86,C747464370,829892.09,1567434.81,0.0,0.0,"Ontario, Canada",7,-574.7112472578078,92.08724005318132,True,4,-134.36799558106145,False,True,13.949386065204184
1,DEBIT,3584.21,C833240229,135496.0,131911.79,C1330106945,100614.05,24044.18,0.0,0.0,"Scotland, UK",29,-933.6212908751476,6.107795985486375,True,3,-912.2001147139897,True,False,29.214464853521815
1,DEBIT,996.0,C1839206329,46132.0,45136.0,C998351292,88106.55,1015132.48,0.0,0.0,"Quebec, Canada",11,-392.1071975185524,27.687764814720374,True,1,-668.5004403596881,False,False,36.63618432936917
1,DEBIT,625.92,C615954678,30165.0,29539.08,C811587677,1042.0,0.0,0.0,0.0,"Texas, USA",33,306.325581062566,80.62012797930613,False,4,-108.91672251621821,True,False,45.606998421703594
1,DEBIT,5581.55,C997695567,530.0,0.0,C1282788025,55058.57,0.0,0.0,0.0,"Victoria, Australia",6,876.6096368969654,74.82596903836584,True,3,-581.6290691841443,True,True,78.51759613930136
1,DEBIT,5853.21,C2066892165,5039.0,0.0,C662736689,20018.0,4891090.56,0.0,0.0,"New York, USA",79,742.408964526104,18.45210193563773,False,4,-900.0419426806425,True,False,19.967378215835975
1,DEBIT,3179.7,C1182311147,124703.85,121524.14,C1540270363,20767.0,0.0,0.0,0.0,"Wales, UK",32,532.1295530706052,20.93493233367103,True,3,687.2993281036474,True,False,51.42344384136116
1,DEBIT,12154.7,C1011044643,39699.0,27544.3,C451111351,2051287.58,3940085.21,0.0,0.0,"Quebec, Canada",51,576.8946865065973,37.0472102791382,False,1,962.3850583282317,False,False,59.24145688620425
1,DEBIT,8807.01,C767511741,139428.0,130620.99,C20671747,64809.18,43691.09,0.0,0.0,"Queensland, Australia",75,329.96980695199045,48.45229851910213,True,4,586.2857479934789,True,True,4.645041271999773
1,DEBIT,3111.86,C548795052,64665.82,61553.96,C240650537,10070.22,0.0,0.0,0.0,"Scotland, UK",58,-479.426284867994,61.825477153029595,False,2,707.569843409334,True,True,60.75448519014384
1,DEBIT,5363.0,C691863815,21260.0,15897.0,C1321640594,24765.26,18910.85,0.0,0.0,"Queensland, Australia",87,814.3900614116596,36.891363956977244,True,4,-516.0457393659092,False,True,17.052412368729154
1,DEBIT,4040.84,C1800693087,1938.0,0.0,C1825027294,51339.0,36757.68,0.0,0.0,"Quebec, Canada",26,341.46462381166816,46.25347161331479,True,3,921.2539510263996,True,False,6.505159298527952
1,DEBIT,4347.78,C890160158,20766.0,16418.22,C1531333864,407959.76,55974.56,0.0,0.0,"Queensland, Australia",98,120.88126196087978,74.74709381337566,True,1,-606.1485910931433,True,True,94.88855372533332
1,DEBIT,6973.12,C373544591,50015.0,43041.88,C1568059495,81953.08,122750.49,0.0,0.0,"British Columbia, Canada",46,-778.0210615730379,3.66832028905979,False,3,902.8596207236646,True,False,96.56320330745594
1,DEBIT,374.36,C1210939243,15237.0,14862.64,C1335050193,62904.98,353532.56,0.0,0.0,"British Columbia, Canada",98,-105.88891238714916,25.243694434402077,True,4,989.6385879319021,False,True,80.83973481164611
1,DEBIT,8703.54,C1832283291,137782.0,129078.46,C1335050193,63279.34,353532.56,0.0,0.0,"Quebec, Canada",29,-79.2834575961474,71.33495858845524,False,4,423.44561149209744,True,True,30.46137691733707
1,DEBIT,1150.14,C1119242936,21634.0,20483.86,C1122805102,15653.66,23568.91,0.0,0.0,"New York, USA",4,729.1272190453399,89.52068376871993,False,2,962.2874635836438,False,False,9.767211400638388
1,DEBIT,7546.88,C209360730,51368.0,43821.12,C1259769769,11353.0,252055.24,0.0,0.0,"Wales, UK",81,93.29644037557705,51.167744211566614,True,1,139.07955913420733,True,True,68.42330265121569
1,DEBIT,1741.24,C1687627235,80942.0,79200.76,C997608398,366188.92,157982.12,0.0,0.0,"Quebec, Canada",99,-239.19890205918068,53.211348526531566,True,1,-480.9164336478193,True,False,44.01524937396013
1,DEBIT,8233.25,C438151297,7024.0,0.0,C846947180,14673.0,12901.08,0.0,0.0,"England, UK",13,953.6006570213187,10.717201133977605,True,4,-126.0082286687583,False,False,12.203823484477883
1,DEBIT,5297.36,C2064883371,82134.0,76836.64,C655381473,31443.78,189534.74,0.0,0.0,"England, UK",39,-778.5588133473686,44.741236682345466,False,1,187.12187075757197,True,True,49.51769101112702
1,DEBIT,1260.62,C636959006,1483.0,222.38,C1686100174,10086.0,9837.06,0.0,0.0,"New York, USA",15,-154.90314337611073,53.261726645502314,True,2,-853.83687594597,True,False,3.4388521115218396
1,DEBIT,1580.66,C961859592,31156.0,29575.34,C1556995360,12298.0,0.0,0.0,0.0,"New South Wales, Australia",29,-915.9506496571894,24.247050363472965,False,3,244.68652923449213,False,False,90.9320402078782
1,DEBIT,13758.63,C216376974,29858.0,16099.37,C1219161283,21305.0,0.0,0.0,0.0,"Scotland, UK",29,479.8082415338606,26.924323094938096,False,1,962.3556735245891,False,True,25.87799816000169
1,DEBIT,3766.99,C2021053848,16600.0,12833.01,C1123629720,146166.67,46393.85,0.0,0.0,"Scotland, UK",75,836.1531043983014,37.728416310462265,True,4,-619.7847004325447,False,True,66.2522284353982
1,DEBIT,8679.29,C1233505227,150592.0,141912.71,C1877453512,21056.0,0.0,0.0,0.0,"Wales, UK",32,-439.9253408990211,2.007119777772637,True,3,585.1902325767667,False,False,31.171107608941096
1,DEBIT,2869.65,C1556520190,8768.0,5898.35,C1664439369,15485.0,5484.37,0.0,0.0,"New York, USA",2,716.6833535982419,32.20791655831783,True,3,815.7975875592388,False,True,52.00680211778108
1,DEBIT,3635.93,C296541232,106929.0,103293.07,C288665596,95816.79,8496.61,0.0,0.0,"Scotland, UK",47,-415.5635390762045,21.144800699654464,True,2,887.4031856404417,True,False,54.67102793432797
1,DEBIT,300.41,C1395262169,39167.0,38866.59,C736709391,48749.55,46820.71,0.0,0.0,"Victoria, Australia",78,821.5403232878305,32.74973521779147,True,4,920.2712088108944,False,False,18.485445552552704
1,DEBIT,5423.28,C2139168000,20281.0,14857.72,C367746789,11523.0,0.0,0.0,0.0,"Queensland, Australia",84,507.9238071935679,11.976213181925122,True,1,42.919277442943894,True,True,96.95846277645586
1,DEBIT,1683.95,C745627268,16741.0,15057.05,C1686100174,11346.62,9837.06,0.0,0.0,"British Columbia, Canada",22,609.8135536828772,89.0527280739895,False,4,954.6158159830075,True,True,77.51328233611146
1,DEBIT,3390.74,C95322593,48021.0,44630.26,C1336996537,9463.0,0.0,0.0,0.0,"Texas, USA",75,-963.986888799091,59.359245355404866,False,3,514.6204142688778,True,True,93.9498941564189
1,DEBIT,4651.67,C1410367298,35210.0,30558.33,C824208363,50204.54,0.0,0.0,0.0,"Scotland, UK",27,925.620714148052,67.91023191444896,False,4,-676.6571275260762,False,True,89.48273504276489
1,DEBIT,429.42,C791408866,46064.0,45634.58,C1793436274,31281.0,14566.06,0.0,0.0,"British Columbia, Canada",67,453.34198414064645,78.91712386073382,True,1,-46.19978706406005,False,False,59.78999788110851
1,DEBIT,5416.8,C712423434,51206.0,45789.2,C1321530272,19346.0,23174.68,0.0,0.0,"Scotland, UK",81,-390.49780922773334,49.84421989290573,False,1,436.6623507440079,True,False,92.18742350231169
1,DEBIT,7257.7,C1641672672,1369271.13,1362013.43,C461160828,13711.0,17860.54,0.0,0.0,"Victoria, Australia",56,658.7893297176938,8.69202880874237,False,2,-505.3193683618333,False,True,8.84925020519195
1,DEBIT,6606.47,C108982313,1862.0,0.0,C1870252780,18868.96,46462.23,0.0,0.0,"Scotland, UK",92,-436.95760317014015,53.71065418185478,False,1,281.23036709777466,False,True,19.59828624191452
1,DEBIT,2935.86,C121678773,41256.0,38320.14,C1259769769,18899.88,252055.24,0.0,0.0,"Texas, USA",93,745.5076791322558,58.68411180208791,False,1,333.20095809323857,False,False,4.522728891053807
1,DEBIT,2586.39,C1037475674,29859.0,27272.61,C392292416,2013609.89,3420103.09,0.0,0.0,"Ontario, Canada",21,-774.839219176126,74.54394741843299,False,4,-674.6005123828681,False,False,32.53303307632643
1,DEBIT,2644.54,C1342374939,39695.0,37050.46,C1948471365,63960.0,18627.02,0.0,0.0,"Queensland, Australia",47,407.3719549215914,43.16595462296794,True,4,130.17062490551257,True,False,38.8677289689482
1,DEBIT,9549.7,C211973922,130.0,0.0,C728885526,36655.0,897150.84,0.0,0.0,"New York, USA",80,81.39695328982066,12.758030279556376,True,3,543.2538219572155,True,False,27.134903177389592
1,DEBIT,8901.32,C68195659,8687.52,0.0,C240650537,13182.08,0.0,0.0,0.0,"New South Wales, Australia",59,-806.9310596091184,28.377590579872447,False,2,-2.2086709281161347,False,True,82.87375091519293
1,DEBIT,5430.64,C989126847,5656.75,226.11,C1526298704,244233.08,32092.07,0.0,0.0,"California, USA",84,-516.212343482322,36.30822963986351,False,4,-975.7937664477852,True,False,35.67533266935893
1,DEBIT,6765.12,C67620673,50317.0,43551.88,C1122805102,16803.8,23568.91,0.0,0.0,"Queensland, Australia",6,-975.1919274453704,64.59172413316013,False,1,-981.9230618414157,False,False,28.093450968738075
1,DEBIT,3269.72,C1746257394,22906.25,19636.54,C793315160,25808.5,139915.18,0.0,0.0,"Victoria, Australia",19,-62.46406907098833,57.077830466891186,True,3,-285.94131205997564,False,True,54.26960831582485
1,DEBIT,4244.4,C280531669,6055.0,1810.6,C1360767589,1842542.65,2107965.39,0.0,0.0,"New York, USA",57,-397.4694784799992,35.60967258978462,True,4,852.3881368635639,True,False,14.092422497476264
1,DEBIT,5633.3,C1038820134,61694.0,56060.7,C1961176822,49578.0,0.0,0.0,0.0,"Victoria, Australia",69,196.71496859551758,98.65152487929797,False,2,-542.6464407927824,True,False,80.21969807540397
1,DEBIT,1668.11,C667890001,1080.0,0.0,C673068808,17145.04,9672.67,0.0,0.0,"Texas, USA",3,-405.5243845827656,60.577481935688716,True,2,268.7273777433743,True,True,7.455064367977082
1,DEBIT,2763.95,C458817438,60249.0,57485.05,C846947180,10137.14,12901.08,0.0,0.0,"California, USA",1,-400.16177698603065,23.72267917359945,True,3,-555.8482586133589,False,True,98.68869366005173
1,DEBIT,1009.43,C2145420209,23322.0,22312.57,C1531333864,476138.03,55974.56,0.0,0.0,"Victoria, Australia",58,486.3863974632068,10.178247262040374,False,3,-356.6600206809028,True,True,77.22447692966574
1,DEBIT,1088.94,C1660451908,5096.0,4007.06,C2001112025,13100.81,0.0,0.0,0.0,"Victoria, Australia",38,-903.7143280432931,15.285913918433202,True,3,696.084179202968,False,False,19.87156815341724
1,DEBIT,1280.14,C626393072,15159.0,13878.86,C1112414583,11898.0,67762.92,0.0,0.0,"British Columbia, Canada",15,805.7899903839746,24.595772838450813,True,3,457.7228845398938,True,False,0.5522117123602399
1,DEBIT,3039.84,C1892869131,152809.0,149769.16,C33524623,2079710.62,1517262.16,0.0,0.0,"Queensland, Australia",34,704.527748782363,16.06813732595557,False,3,-809.2014453735787,True,True,81.54614284548342
